bellidoite	Cu2Se
bellingerite	Cu3(IO3)6
belloite	Cu(OH)Cl
belovite-(ce)	Sr3Na(Ce,La)(PO4)3(F,OH)
belovite-(la)	Sr3Na(La,Ce)(PO4)3(F,OH)
bementite	Mn8Si6O15(OH)10
benauite	(Sr,Ba)(Fe,Al)3(PO4)2(SO4)2(OH,H2O)6
benavidesite	Pb4(Mn,Fe)Sb6S14
benitoite	BaTiSi3O9
benjaminite	(Ag,Cu)3(Bi,Pb)7S12
benleonardite	Ag8(Sb,As)Te2S3
benstonite	(Ba,Sr)6(Ca,Mn)6Mg(CO3)13
bentorite	Ca6(Cr,Al)2(SO4)3(OH)12
benyacarite	(H2O,K)2(Mn,Fe)2(Fe,Ti)2Ti(PO4)4(O,F)2
beraunite	FeFe5(PO4)4(OH)5
berdesinskiite	V2TiO5
bergenite	Ba4Ca2(UO2)6(PO4)6O6
bergslagite	CaBe(AsO4)(OH)
berlinite	AlPO4
bermanite	MnMn2(PO4)2(OH)2
bernalite	Fe(OH)3
bernardite	Tl(As,Sb)5S8
berryite	Pb3(Ag,Cu)5Bi7S16
berthierite	FeSb2S4
bertossaite	(Li,Na)2CaAl4(PO4)4(OH,F)4
bertrandite	Be4Si2O7(OH)2
beryl	Be3Al2Si6O18
beryllite	Be3SiO4(OH)2.H2O
beryllonite	NaBePO4
berzanskite	KLi3Ti2Si12O30
berzelianite	Cu2Se
berzeliite	(Ca,Na)3(Mg,Mn)2(AsO4)3
betafite	(Ca,Na,U)2(Ti,Nb,Ta)2O6(OH)
betekhtinite	Cu10(Fe,Pb)S6
betpakdalite	MgCa2Fe3(Mo8O28)(AsO4)2(OH)
beudantite	PbFe3(AsO4)(SO4)(OH)6
beusite	(Mn,Fe,Ca,Mg)3(PO4)2
beyerite	(Ca,Pb)Bi2(CO3)2O2
bezsmertnovite	Au4Cu(Te,Pb)
bianchite	(Zn,Fe)(SO4)
bicchulite	Ca2Al2SiO6(OH)2
bideauxite	Pb2AgCl3F(OH)
bieberite	CoSO4
biehlite	(Sb,As)2(MoO6)
bigcreekite	BaSi2O5
bijvoetite-(y)	[(Y,REE)8(H2O)25(UO2)16O8(OH)8(CO3)16](H2O)14
bikitaite	Li[AlSi2O6].H2O
bilibinskite	Au3Cu2PbTe2
bilinite	FeFe2(SO4)4
billietite	Ba(UO2)6O4(OH)6
billingsleyite	Ag7AsS6
bindheimite	Pb2Sb2O6(O,OH)
biphosphammite	(NH4,K)H2PO4
biringuccite	Na2B5O8(OH).H2O
birnessite	Na4Mn14O27
bischofite	MgCl2
bismite	Bi2O3
bismoclite	BiOCl
bismuth	Bi
bismuthinite	Bi2S3
bismutite	Bi2(CO3)O2
bismutocolumbite	Bi(Nb,Ta)O4
bismutoferrite	BiFe2(SiO4)2(OH)
bismutohauchecornite	Ni9Bi2S8
bismutomicrolite	(Bi,Ca)(Ta,Nb)2O6(OH)
bismutopyrochlore	(Bi,U,Ca,Pb)1x(Nb,Ta)2O6(OH).nH2O
bismutostibiconite	Bi(Sb,Fe)2O7
bismutotantalite	Bi(Ta,Nb)O4
bityite	CaLiAl2BeAlSi2O10(OH)2
bixbyite	(Mn,Fe)2O3
bjarebyite	(Ba,Sr)(Mn,Fe,Mg)2Al2(PO4)3(OH)3
blatonite	(UO2)(CO3).H2O
blatterite	Sb3(Mn,Fe)9(Mn,Mg)35(BO3)16O32
bleasdaleite	(Ca,Fe)2Cu5(Bi,Cu)(PO4)4(H2O,OH,Cl)13
blixite	Pb2Cl(O,OH)2
blodite	Na2Mg(SO4)2
blossite	Cu2V2O7
bobfergusonite	Na2Mn5FeAl(PO4)6
bobierrite	Mg3(PO4)2
bobjonesite	VO(SO4).3(H2O)
bobkingite	Cu5(OH)8Cl2
bogdanovite	(Au,Te,Pb)3(Cu,Fe)
boggildite	Sr2Na2Al2(PO4)F9
boggsite	Ca8Na3[Al19Si77O192]
bogvadite	Na2SrBa2Al4F20
bohdanowiczite	AgBiSe2
bohmite	AlO(OH)
bokite	(Al,Fe)1,3(V,V,Fe)8O20.7,4H2O
boldyrevite	NaCaMgAl3F14
boleite	KPb26Ag9Cu24Cl62(OH)48
boltwoodite	(K,Na)(UO2)SiO3(OH).1,5H2O
bonaccordite	Ni2FeBO5
bonattite	CuSO4
bonshtedtite	Na3Fe(PO4)(CO3)
boothite	CuSO4
boracite	Mg3B7O13Cl
boralsilite	Al16(BO4)6(SiO4)2O5
borax	Na2B4O5(OH)4
borcarite	Ca4MgB4O6(OH)6(CO3)2
bornemanite	(Na,Ba)4(Na,Ti,Mn)4(Ti,Nb)2(PO4)(Si2O7)2O2(OH,F,O)2
bornhardtite	CoCo2Se4
bornite	Cu5FeS4
borocookeite	Li1-1,5Al3,5-4(B,Al)Si3O10(OH,F)8
borodaevite	Ag5(Bi,Sb)9S16
boromuscovite	KAl2[]BSi3O10(OH)2
borovskite	Pd3SbTe4
bostwickite	CaMn6Si3O16
botallackite	Cu2Cl(OH)3
botryogen	MgFe(SO4)2(OH)
bottinoite	NiSb2(OH)12
boulangerite	Pb5Sb4S11
bournonite	PbCuSbS3
boussingaultite	(NH4)2Mg(SO4)2
bowieite	(Rh,Ir,Pt)1,77S3
boyleite	(Zn,Mg)SO4
brabantite	CaTh(PO4)2
bracewellite	CrO(OH)
brackebuschite	Pb2(Mn,Fe)(VO4)2(OH)
bradaczekite	NaCu4(AsO4)3
bradleyite	Na3Mg(PO4)(CO3)
braggite	(Pt,Pd,Ni)S
braitschite-(ce)	(Ca,Na2)7(Ce,La)2B22O43
brammallite	Na0,65Al2[]Al0,65Si3,35O10(OH)2
brandholzite	MgSb2(OH)12
brandtite	Ca2(Mn,Mg)(AsO4)2
brannerite	(U,Ca,Y,Ce)(Ti,Fe)2O6
brannockite	KLi3Sn2Si12O30
brassite	MgHAsO4
braunite	MnMn6SiO12
brazilianite	NaAl3(PO4)2(OH)4
bredigite	Ca7Mg(SiO4)4
breithauptite	NiSb
brendelite	(Bi,Pb)2(Fe,Fe)O2(OH)(PO4)
brenkite	Ca2(CO3)F2
brewsterite-ba	(Ba,Sr)2[Al4Si12O32]
brewsterite-sr	(Sr,Ba)2[Al4Si12O32]
brezinaite	Cr3S4
brianite	Na2CaMg(PO4)2
brianroulstonite	Ca3B5O6(OH)Cl2
brianyoungite	Zn3(CO3,SO4)(OH)4
briartite	Cu2(Zn,Fe)GeS4
brindleyite	(Ni,Mg,Fe)2Al(SiAl)O5(OH)4
brinrobertsite	Na0,3Al4(Si4O10)2(OH)4.3,5H2O
britholite-(ce)	(Ce,Ca)5(SiO4,PO4)3(OH,F)
britholite-(y)	(Y,Ca)5(SiO4,PO4)3(OH,F)
brizziite	NaSbO3
brochantite	Cu4(SO4)(OH)6
brockite	(Ca,Th,Ce)(PO4).H2O
brodtkorbite	Cu2HgSe2
brokenhillite	(Mn,Fe)8(Si6O15)(OH,Cl)10
bromargyrite	AgBr
bromellite	BeO
brookite	TiO2
brownmillerite	Ca2(Al,Fe)2O5
brucite	Mg(OH)2
bruggenite	Ca(IO3)2.H2O
brugnatellite	Mg6Fe(CO3)(OH)13
brunogeierite	(Ge,Fe)Fe2O4
brushite	CaHPO4
buchwaldite	NaCaPO4
beta-rhenanite	NaCaPO4
buckhornite	AuTe2Pb2BiS3
buddingtonite	(NH4)AlSi3O8.0,5H2O
buergerite	NaFe3Al6(BO3)3Si6O18(O,F)4
bukovite	Tl2Cu3FeSe4
bukovskyite	Fe2(AsO4)(SO4)(OH)
bulachite	Al2(AsO4)(OH)3
bultfonteinite	Ca2SiO2(OH,F)4
bunsenite	NiO
burangaite	(Na,Ca)2(Fe,Mg)2Al10(PO4)8(OH,O)12
burbankite	(Na,Ca)3(Sr,Ba,Ce)3(CO3)5
burckhardtite	Pb2(Fe,Mn)Te(AlSi3)O12(OH)2.H2O
burkeite	Na6(CO3)(SO4)2
burnsite	KCdCu7(SeO3)2Cl9O2
burpalite	Na8Ca4Zr4(Si2O7)4F8
burtite	CaSn(OH)6
buryatite	Ca6(Si,Fe,Al)2(SO4)2[B(OH)4]2(O,OH)12
bushmakinite	Pb2(Al,Cu)PO4(V,Cr)O4(OH)
bussenite	Na2(Ba,Sr)2(Fe,Mn)TiCO3Si2O7F(OH)3
bustamite	(Mn,Ca)3Si3O9
butlerite	Fe(SO4)(OH)
butschliite	K2Ca(CO3)2
buttgenbachite	Cu19Cl4(NO3)2(OH)32
byelorussite-(ce)	NaMnBa2(Ce,La)2Ti2Si8O26(F,OH).H2O
bystrite	Ca(Na,K)7Si6Al6O24(S--)1,5.H2O
bystromite	MgSb2O6
cabalzarite	Ca(Mg,Al,Fe)2(AsO4)2(H2O,OH)2
cabriite	Pd2SnCu
cacoxenite	(Fe,Al)25(PO4)17O6(OH)12
cadmium	Cd
cadmoselite	CdSe
cadwaladerite	Al(OH)2Cl
